Src IP,Dest IP,Protocol,Count,Unsecured
10.40.34.146,169.253.14.153,ARP,2,FALSE
10.40.34.166,169.253.14.153,ARP,2,FALSE
10.40.34.240,169.253.14.153,ARP,2,FALSE
10.40.32.223,169.253.14.153,ARP,2,FALSE
10.40.34.69,169.253.14.153,ARP,2,FALSE
10.40.32.183,169.253.14.153,ARP,2,FALSE
10.40.32.114,169.253.14.153,ARP,2,FALSE
10.40.32.32,169.253.14.153,ARP,1,FALSE
10.40.34.146,169.253.14.153,ARP,1,FALSE
10.40.32.2,169.253.14.153,ARP,1,FALSE
10.40.34.195,169.253.14.153,ARP,1,FALSE
10.40.32.152,169.253.14.153,ARP,1,FALSE
10.40.32.150,169.253.14.153,ARP,1,FALSE
10.40.34.253,169.253.14.153,ARP,1,FALSE
10.40.32.186,169.253.14.153,ARP,1,FALSE
10.49.198.200,169.253.14.153,ARP,1,FALSE
10.40.34.40,169.253.14.153,ARP,1,FALSE
10.40.32.208,169.253.14.44,SMB,16,TRUE
10.40.34.31,169.253.14.44,SMB,9,TRUE
10.40.32.252,169.253.14.44,ARP,6,FALSE
10.40.32.208,169.253.14.44,ARP,2,FALSE
10.40.34.243,169.253.14.44,ARP,2,FALSE
10.40.32.1,169.253.14.44,ARP,2,FALSE
10.40.32.19,169.253.14.44,RDP,2,FALSE
10.40.32.162,169.253.14.44,ARP,1,FALSE
10.40.32.136,169.253.14.44,ARP,1,FALSE
10.40.32.19,169.253.14.44,ARP,1,FALSE
10.40.32.186,169.253.14.44,ARP,1,FALSE
10.40.34.253,169.253.14.44,ARP,1,FALSE
10.40.32.136,169.253.14.44,HTTP,1,TRUE
10.40.32.114,169.253.14.44,ARP,1,FALSE
10.40.32.2,169.253.14.44,ARP,1,FALSE
10.40.32.2,169.253.14.44,UDP,1,FALSE
10.40.34.31,169.253.14.44,ARP,1,FALSE
10.40.32.18,169.253.14.44,RDP,1,FALSE
10.40.32.90,169.253.14.44,ARP,1,FALSE
10.40.34.200,169.253.14.44,ARP,1,FALSE
10.40.34.200,169.253.14.44,HTTP,1,TRUE
10.40.32.134,169.253.14.44,ARP,1,FALSE
10.40.32.105,169.253.14.44,ARP,1,FALSE
10.40.32.105,169.253.14.44,HTTP,1,TRUE
